DB Accession Number,Molecule Names,ATC Codes,Type,Groups,DB SMILES,Neutralized SMILES
DB00118,Ademetionine ,A16AA,Small Molecule,NotAvailable,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB00121; CHEMBL857,Biotin ; Biotin,A11HA,Small Molecule,NotAvailable,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
DB00123; ZINC000001532522; CHEMBL8085,Lysine ; LYSINE; LYSINE ACETATE; LYSINE HYDROCHLORIDE; Lysine,B05XB,Small Molecule,NotAvailable,NCCCC[C@H](N)C(O)=O,NCCCC[C@H](N)C(=O)O
DB00126; ZINC000100006770; CHEMBL196,Vitamin C ; ASCORBATE; CALCIUM ASCORBATE; SODIUM ASCORBATE; Ascorbic acid,A11GA; A11GB; G01AD; S01XA,Small Molecule,NotAvailable,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
DB00129,Ornithine ,A05BA,Small Molecule,NotAvailable,NCCC[C@H](N)C(O)=O,NCCC[C@H](N)C(=O)O
DB00130; ZINC000001532526; CHEMBL930,L-Glutamine ; GLUTAMINE; Glutamine,A16AA,Small Molecule,NotAvailable,N[C@@H](CCC(N)=O)C(O)=O,NC(=O)CC[C@H](N)C(=O)O
DB00136; ZINC000100015048; CHEMBL846,Calcitriol ; CALCITRIOL; Calcitriol,A11CC; D05AX,Small Molecule,NotAvailable,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
DB00140; ZINC000002036848; CHEMBL1534,Riboflavin ; RIBOFLAVIN; Riboflavin,A11HA; S01XA,Small Molecule,NotAvailable,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
DB00142; CHEMBL1255943,Glutamic acid ; Glutamic acid hydrochloride,A09AB,Small Molecule,NotAvailable,N[C@@H](CCC(O)=O)C(O)=O,N[C@@H](CCC(=O)O)C(=O)O
DB00146; ZINC000004474414; CHEMBL3544909,Calcifediol ; 25-HYDROXYCHOLECALCIFEROL; CALCIFEDIOL; Calcifediol,A11CC; H05BX,Small Molecule,NotAvailable,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
DB00150; ZINC000000083315; CHEMBL54976,Tryptophan ; DL-TRYPTOPHAN; TRYPTOPHAN; Tryptophan,N06AX,Small Molecule,NotAvailable,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
DB00152; ZINC000000049153; CHEMBL1588,Thiamine ; THIAMINE; THIAMINE CHLORIDE; THIAMINE HYDROCHLORIDE; THIAMINE MONONITRATE; Thiamine (vit b1),A11DA,Small Molecule,NotAvailable,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
DB00153; ZINC000004629876; CHEMBL1536,Ergocalciferol ; ERGOCALCIFEROL; Ergocalciferol,A11CC,Small Molecule,NotAvailable,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
DB00158; CHEMBL1622,Folic acid ; Folic acid,B03AD; B03AE; B03BB,Small Molecule,NotAvailable,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00162; ZINC000003831417; CHEMBL986,Vitamin A ; RETINOL; Retinol,A11CA; D10AD; R01AX; S01XA,Small Molecule,NotAvailable,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
DB00165; ZINC000000049154; CHEMBL1364; JUAN102; JUAN503,Pyridoxine ; PYRIDOXINE; PYRIDOXINE HYDROCHLORIDE; Pyridoxine (vit b6); Piridoxine,A11HA; J04AC; J04AM; N05AL,Small Molecule,NotAvailable,CC1=C(O)C(CO)=C(CO)C=N1,Cc1ncc(CO)c(CO)c1O
DB00166,Lipoic acid ,A16AX,Small Molecule,NotAvailable,OC(=O)CCCC[C@@H]1CCSS1,O=C(O)CCCC[C@@H]1CCSS1
DB00169; ZINC000004474460; CHEMBL1042,Vitamin D3 ; CHOLECALCIFEROL; Colecalciferol,A11CC; M05BB; M05BX,Small Molecule,NotAvailable,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
DB00170; CHEMBL590,Menadione ; Menadione,B02BA,Small Molecule,NotAvailable,CC1=CC(=O)C2=CC=CC=C2C1=O,CC1=CC(=O)c2ccccc2C1=O
DB00175; ZINC000003798763; CHEMBL1144,Pravastatin ; PRAVASTATIN; PRAVASTATIN SODIUM; Pravastatin,C10AA; C10BA; C10BX,Small Molecule,NotAvailable,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB00176; ZINC000003872605; CHEMBL814,Fluvoxamine ; FLUVOXAMINE; FLUVOXAMINE MALEATE; Fluvoxamine,N06AB,Small Molecule,NotAvailable,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
DB00177; ZINC000003875259,Valsartan ; VALSARTAN,C09CA; C09DA; C09DB; C09DX; C10BX,Small Molecule,NotAvailable,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
DB00178; ZINC000003798757; CHEMBL1168,Ramipril ; RAMIPRIL; Ramipril,C09AA; C09BA; C09BB; C09BX; C10BX,Small Molecule,NotAvailable,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
DB00179; CHEMBL313972,Masoprocol ; Masoprocol,L01XX,Small Molecule,NotAvailable,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
DB00180; ZINC000004097305; CHEMBL1512,Flunisolide ; FLUNISOLIDE; Flunisolide,R01AD; R03BA,Small Molecule,NotAvailable,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DB00181; CHEMBL701,Baclofen ; Baclofen,M03BX,Small Molecule,NotAvailable,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182; CHEMBL405,Amphetamine ; Amfetamine,N06BA,Small Molecule,NotAvailable,CC(N)CC1=CC=CC=C1,CC(N)Cc1ccccc1
DB00184; ZINC000000391812; CHEMBL3,Nicotine ; (+/-)NICOTINE; NICOTINE; NICOTINE BITARTRATE; NICOTINE HYDROCHLORIDE; Nicotine,N07BA,Small Molecule,NotAvailable,CN1CCC[C@H]1C1=CN=CC=C1,CN1CCC[C@H]1c1cccnc1
DB00185; D00661,"Cevimeline ; Evoxac, Saligren",N07AX,Small Molecule,NotAvailable,CC1O[C@@]2(CS1)CN1CCC2CC1,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186; CHEMBL580; JUAN114,Lorazepam ; Lorazepam; Lorazepam,N05BA,Small Molecule,NotAvailable,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187; CHEMBL768; D00644; JUAN332,Esmolol ; Esmolol; Brevibloc; Esmolol,C07AB,Small Molecule,NotAvailable,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188; ZINC000169746649; CHEMBL325041; D03150,Bortezomib ; BORTEZOMIB; Bortezomib; Velcade,L01XG; L01XX,Small Molecule,NotAvailable,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189; CHEMBL591,Ethchlorvynol ; Ethchlorvynol,N05CM,Small Molecule,NotAvailable,CCC(O)(\C=C\Cl)C#C,C#CC(O)(/C=C/Cl)CC
DB00191; ZINC000008403947; CHEMBL1574,Phentermine ; PHENTERMINE; PHENTERMINE HYDROCHLORIDE; Phentermine,A08AA,Small Molecule,NotAvailable,CC(C)(N)CC1=CC=CC=C1,CC(C)(N)Cc1ccccc1
DB00193; CHEMBL1237044; JUAN11,Tramadol ; Tramadol; Tramadol,N02AJ; N02AX,Small Molecule,NotAvailable,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,COc1cccc(C2(O)CCCCC2CN(C)C)c1
DB00194; CHEMBL1090,Vidarabine ; Vidarabine,J05AB; S01AD,Small Molecule,NotAvailable,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195; CHEMBL423,Betaxolol ; Betaxolol,C07AB; S01ED,Small Molecule,NotAvailable,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00196; ZINC000000004009; CHEMBL106; JUAN490,Fluconazole ; FLUCONAZOLE; Fluconazole; Fluconazole,D01AC; J01RA; J02AC,Small Molecule,NotAvailable,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
DB00197; CHEMBL408,Troglitazone ; Troglitazone,A10BG,Small Molecule,NotAvailable,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DB00198; ZINC000003929508; CHEMBL1229,Oseltamivir ; OSELTAMIVIR; OSELTAMIVIR PHOSPHATE; Oseltamivir,J05AH,Small Molecule,NotAvailable,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199; ZINC000085534336; CHEMBL532,Erythromycin ; ERYTHROMYCIN; ERYTHROMYCIN GLUCEPTATE; ERYTHROMYCIN LACTOBIONATE; ERYTHROMYCIN STEARATE; Erythromycin,D10AF; J01FA; S01AA,Small Molecule,NotAvailable,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin ,B03BA,Small Molecule,NotAvailable,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],CC1=C2N3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)(O)O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c5cc(C)c(C)cc52)[Co-3]325(O)[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O
DB00201; ZINC000000001084; CHEMBL113; JUAN21; JUAN174,"Caffeine ; CAFFEINE; CAFFEINE, CITRATED; Caffeine; Caffeine",D11AX; N02BB; N06BC; R03DA,Small Molecule,NotAvailable,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202; ZINC000001530820; CHEMBL703,Succinylcholine ; SUCCINYLCHOLINE CHLORIDE; SUXAMETHONIUM; SUXAMETHONIUM BROMIDE; Suxamethonium,M03AB,Small Molecule,NotAvailable,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203; ZINC000019796168; CHEMBL192,Sildenafil ; SILDENAFIL; SILDENAFIL CITRATE; Sildenafil,G01AE; G04BE,Small Molecule,NotAvailable,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
DB00204; ZINC000000596731; CHEMBL473,Dofetilide ; DOFETILIDE; Dofetilide,C01BD,Small Molecule,NotAvailable,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205; ZINC000000057464; CHEMBL36; JUAN667,Pyrimethamine ; PYRIMETHAMINE; Pyrimethamine; Pyrimethamine,P01BD; P01BF,Small Molecule,NotAvailable,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206; ZINC000003938746; CHEMBL772,Reserpine ; RESERPINE; Reserpine,C02AA; C02LA,Small Molecule,NotAvailable,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DB00207; ZINC000085537026; CHEMBL529; D02134,Azithromycin ; AZITHROMYCIN; Azithromycin; Zithromac,J01FA; J01RA; S01AA,Small Molecule,NotAvailable,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208; ZINC000019594599; CHEMBL833,Ticlopidine ; TICLOPIDINE; TICLOPIDINE HYDROCHLORIDE; Ticlopidine,B01AC,Small Molecule,NotAvailable,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,Clc1ccccc1CN1CCc2sccc2C1
